filepath,xmin,xmax,ymin,ymax
./data/all/N192.jpeg,543,769,390,461
./data/all/N193.jpeg,274,502,2,59
./data/all/N195.jpeg,186,367,137,232
./data/all/N196.jpeg,119,220,84,111
./data/all/N197.jpeg,120,184,103,130
./data/all/N198.jpeg,214,335,138,169
./data/all/N199.jpeg,45,112,206,255
./data/all/N2.jpeg,1804,2493,1734,1882
./data/all/N20.jpeg,498,796,729,814
./data/all/N200.jpeg,196,442,227,293
./data/all/N201.jpeg,157,290,193,229
./data/all/N202.jpeg,157,329,260,296
./data/all/N203.jpeg,765,1258,821,905
./data/all/N204.jpeg,94,206,307,334
./data/all/N205.jpeg,322,479,169,203
./data/all/N206.jpeg,121,215,120,147
./data/all/N207.jpeg,213,339,280,307
./data/all/N208.jpeg,199,274,203,221
./data/all/N209.jpeg,145,319,200,244
./data/all/N21.jpeg,244,403,221,258
./data/all/N210.jpeg,143,337,210,254
./data/all/N211.jpeg,74,160,149,175
./data/all/N212.jpeg,159,353,115,173
./data/all/N213.jpeg,131,209,129,153
./data/all/N214.jpeg,167,277,189,226
./data/all/N215.jpeg,85,258,390,446
./data/all/N216.jpeg,322,682,300,371
./data/all/N217.jpeg,404,585,429,468
./data/all/N218.jpeg,176,301,212,238
./data/all/N219.jpeg,1,300,92,154
./data/all/N22.jpeg,493,858,885,967
./data/all/N220.jpeg,182,349,238,273
./data/all/N221.jpeg,104,209,153,182
./data/all/N222.jpeg,127,183,122,156
./data/all/N223.jpeg,69,585,79,183
./data/all/N224.jpeg,164,272,223,247
./data/all/N225.jpeg,775,1142,965,1101
./data/all/N226.jpeg,142,343,253,304
./data/all/N227.jpeg,626,768,280,359
./data/all/N229.jpeg,358,1031,294,540
./data/all/N23.jpeg,107,201,264,288
./data/all/N230.jpeg,271,484,332,384
./data/all/N231.jpeg,581,700,273,319
./data/all/N232.jpeg,286,451,216,258
./data/all/N233.jpeg,99,223,20,50
./data/all/N234.jpeg,224,307,158,183
./data/all/N235.jpeg,44,656,128,391
./data/all/N236.jpeg,313,380,111,141
./data/all/N237.jpeg,121,243,163,198
./data/all/N238.jpeg,165,341,129,170
./data/all/N239.jpeg,106,263,238,276
./data/all/N24.jpeg,151,280,193,224
./data/all/N240.jpeg,164,285,99,137
./data/all/N242.jpeg,202,386,190,227
./data/all/N244.jpeg,335,452,313,343
./data/all/N245.jpeg,192,364,279,319
./data/all/N246.jpeg,23,160,261,321
./data/all/N247.jpeg,641,886,518,578
./data/all/N248.jpeg,288,429,248,281
./data/all/N25.jpeg,132,235,169,193
./data/all/N27.jpeg,696,1061,546,677
./data/all/N28.jpeg,738,1009,654,722
./data/all/N3.jpeg,73,260,381,462
./data/all/N30.jpeg,928,1219,543,606
./data/all/N241.jpeg,251,542,308,385
./data/all/N31.jpeg,256,381,233,261
./data/all/N32.jpeg,360,500,171,206
./data/all/N33.jpeg,856,1218,665,751
./data/all/N34.jpeg,576,902,487,596
./data/all/N35.jpeg,97,229,338,378
./data/all/N37.jpeg,77,200,231,290
./data/all/N36.jpeg,392,517,161,213
./data/all/N38.jpeg,397,645,590,641
./data/all/N4.jpeg,1326,1830,1464,1607
./data/all/N40.jpeg,328,580,208,254
./data/all/N42.jpeg,163,373,253,327
./data/all/N43.jpeg,142,298,281,327
./data/all/N44.jpeg,113,257,282,322
./data/all/N45.jpeg,107,256,147,180
./data/all/N46.jpeg,454,797,109,234
./data/all/N47.jpeg,161,313,212,259
./data/all/N48.jpeg,156,335,259,303
./data/all/N49.jpeg,196,352,135,173
./data/all/N5.jpeg,938,1173,709,762
./data/all/N51.jpeg,383,491,212,248
./data/all/N50.jpeg,101,397,223,291
./data/all/N52.jpeg,234,422,254,294
./data/all/N53.jpeg,217,428,147,188
./data/all/N54.jpeg,189,299,162,188
./data/all/N56.jpeg,302,486,265,303
./data/all/N57.jpeg,211,406,161,202
./data/all/N58.jpeg,221,430,190,231
./data/all/N59.jpeg,1238,2468,1012,1269
./data/all/N6.jpeg,858,1122,611,676
./data/all/N61.jpeg,158,350,252,297
./data/all/N62.jpeg,289,421,188,232
./data/all/N63.jpeg,297,422,174,218
./data/all/N64.jpeg,19,94,249,314
./data/all/N65.jpeg,1024,1273,611,680
./data/all/N66.jpeg,163,320,247,280
./data/all/N67.jpeg,164,336,162,195
./data/all/N68.jpeg,319,479,262,295
./data/all/N69.jpeg,637,840,464,549
./data/all/N7.jpeg,1149,1358,649,702
./data/all/N70.jpeg,186,395,376,430
./data/all/N72.jpeg,186,325,177,212
./data/all/N73.jpeg,124,209,102,130
./data/all/N74.jpeg,161,366,210,250
./data/all/N75.jpeg,466,740,680,737
./data/all/N77.jpeg,361,566,190,297
./data/all/N78.jpeg,146,302,160,196
./data/all/N79.jpeg,113,277,288,347
./data/all/N8.jpeg,788,1525,1675,1851
./data/all/N80.jpeg,248,372,116,144
./data/all/N81.jpeg,66,174,302,332
./data/all/N82.jpeg,456,651,722,778
./data/all/N84.jpeg,235,349,319,352
./data/all/N85.jpeg,163,302,357,427
./data/all/N86.jpeg,448,638,273,338
./data/all/N88.jpeg,208,370,89,173
./data/all/N89.jpeg,150,378,217,269
./data/all/N9.jpeg,142,441,55,167
./data/all/N90.jpeg,53,185,206,232
./data/all/N91.jpeg,239,347,187,211
./data/all/N92.jpeg,113,420,209,260
./data/all/N93.jpeg,385,746,293,434
./data/all/N94.jpeg,63,243,234,274
./data/all/N95.jpeg,23,408,173,391
./data/all/N96.jpeg,137,352,141,186
./data/all/N97.jpeg,175,290,228,255
./data/all/N98.jpeg,563,675,207,238
./data/all/N99.jpeg,158,389,129,193
./data/all/Cars69.png,77,124,150,175
./data/all/Cars7.png,166,206,141,154
./data/all/Cars70.png,179,213,115,133
./data/all/Cars71.png,254,284,144,152
./data/all/Cars72.png,156,255,182,208
./data/all/Cars73.png,119,283,22,69
./data/all/Cars74.png,115,277,115,153
./data/all/Cars75.png,209,218,196,201
./data/all/Cars76.png,6,470,114,233
./data/all/Cars77.png,229,309,151,178
./data/all/Cars78.png,149,249,210,239
./data/all/Cars79.png,238,350,363,422
./data/all/Cars8.png,204,304,104,134
./data/all/Cars80.png,94,279,148,186
./data/all/Cars81.png,297,327,100,125
./data/all/Cars82.png,190,257,59,77
./data/all/Cars83.png,251,326,295,341
./data/all/Cars84.png,167,238,201,220
./data/all/Cars85.png,86,146,218,235
./data/all/Cars86.png,332,447,176,204
./data/all/Cars87.png,3,45,205,220
./data/all/Cars88.png,168,242,148,171
./data/all/Cars89.png,307,345,206,221
./data/all/Cars9.png,164,272,224,247
./data/all/Cars90.png,77,101,204,225
./data/all/Cars91.png,269,317,170,189
./data/all/Cars92.png,281,393,185,271
./data/all/Cars93.png,347,367,122,132
./data/all/Cars94.png,176,251,210,248
./data/all/Cars95.png,278,407,182,263
./data/all/Cars96.png,133,261,126,160
./data/all/Cars97.png,98,297,102,191
./data/all/Cars98.png,85,247,196,259
./data/all/Cars99.png,70,262,198,271
./data/all/Cars0.png,226,419,125,173
./data/all/Cars1.png,134,262,128,160
./data/all/Cars10.png,140,303,5,148
./data/all/Cars100.png,175,214,114,131
./data/all/Cars101.png,167,240,202,220
./data/all/Cars102.png,66,322,147,199
./data/all/Cars103.png,230,248,129,134
./data/all/Cars104.png,195,244,266,282
./data/all/Cars105.png,152,206,147,159
./data/all/Cars106.png,138,177,79,92
./data/all/Cars107.png,141,311,113,164
./data/all/Cars108.png,158,277,216,248
./data/all/Cars109.png,115,278,116,153
./data/all/Cars11.png,131,273,206,234
./data/all/Cars110.png,286,328,133,159
./data/all/Cars111.png,319,478,165,204
./data/all/Cars112.png,49,164,135,191
./data/all/Cars113.png,151,306,113,180
./data/all/Cars115.png,315,407,287,311
./data/all/Cars116.png,149,267,218,247
./data/all/Cars117.png,42,86,126,137
./data/all/Cars118.png,193,394,165,217
./data/all/Cars119.png,187,217,140,153
./data/all/Cars12.png,122,277,82,117
./data/all/Cars120.png,159,250,178,200
./data/all/Cars121.png,336,357,192,204
./data/all/Cars122.png,195,254,147,169
./data/all/Cars123.png,159,237,221,242
./data/all/Cars124.png,305,320,256,267
./data/all/Cars125.png,280,355,196,257
./data/all/Cars126.png,103,293,99,201
./data/all/Cars127.png,360,383,166,181
./data/all/Cars128.png,112,306,65,173
./data/all/Cars129.png,204,282,213,267
./data/all/Cars13.png,191,242,147,169
./data/all/Cars130.png,91,166,110,140
./data/all/Cars132.png,23,56,190,198
./data/all/Cars133.png,247,375,185,223
./data/all/Cars134.png,76,133,151,174
./data/all/Cars135.png,260,319,184,211
./data/all/Cars136.png,164,245,104,119
./data/all/Cars137.png,178,204,181,191
./data/all/Cars138.png,153,254,141,185
./data/all/Cars139.png,315,337,189,197
./data/all/Cars14.png,94,274,118,163
./data/all/Cars140.png,283,424,239,286
./data/all/Cars141.png,266,307,169,188
./data/all/Cars142.png,178,273,124,144
./data/all/Cars143.png,93,130,196,207
./data/all/Cars144.png,101,215,114,154
./data/all/Cars145.png,282,422,236,283
./data/all/Cars146.png,143,170,263,271
./data/all/Cars147.png,226,420,125,169
./data/all/Cars148.png,135,218,134,158
./data/all/Cars15.png,310,372,146,171
./data/all/Cars150.png,122,262,198,232
./data/all/Cars151.png,54,120,135,178
./data/all/Cars152.png,92,199,258,284
./data/all/Cars153.png,146,311,118,170
./data/all/Cars154.png,70,264,197,265
./data/all/Cars155.png,150,203,177,190
./data/all/Cars156.png,114,230,78,102
./data/all/Cars157.png,330,366,152,179
./data/all/Cars158.png,97,296,118,210
./data/all/Cars159.png,149,261,184,211
./data/all/Cars16.png,36,62,175,186
./data/all/Cars160.png,209,281,137,174
./data/all/Cars161.png,312,406,283,311
./data/all/Cars162.png,201,268,168,213
./data/all/Cars163.png,220,360,173,200
./data/all/Cars164.png,160,239,144,183
./data/all/Cars165.png,209,293,217,254
./data/all/Cars114.png,7,493,16,256
./data/all/Cars131.png,19,497,29,245
./data/all/Cars149.png,212,245,182,203
./data/all/Cars166.png,148,201,123,150
./data/all/Cars183.png,97,234,138,170
./data/all/Cars20.png,18,48,135,152
./data/all/Cars217.png,149,223,196,231
./data/all/Cars234.png,160,246,149,171
./data/all/Cars251.png,136,210,134,153
./data/all/Cars269.png,110,147,199,217
./data/all/Cars286.png,201,288,191,230
./data/all/Cars302.png,222,425,98,149
./data/all/Cars32.png,200,251,149,167
./data/all/Cars337.png,119,136,131,154
./data/all/Cars354.png,65,102,202,222
./data/all/Cars371.png,313,371,135,150
./data/all/Cars389.png,77,222,305,370
./data/all/Cars405.png,241,299,207,232
./data/all/Cars422.png,159,296,126,182
./data/all/Cars50.png,116,525,55,262
./data/all/Cars68.png,189,245,142,171
./data/all/Cars167.png,176,327,254,285
./data/all/Cars168.png,82,137,95,125
./data/all/Cars169.png,114,229,79,101
./data/all/Cars17.png,306,351,188,205
./data/all/Cars170.png,318,346,190,224
./data/all/Cars171.png,192,242,146,167
./data/all/Cars172.png,173,301,209,239
./data/all/Cars173.png,170,252,118,163
./data/all/Cars174.png,283,306,159,168
./data/all/Cars175.png,295,456,237,367
./data/all/Cars176.png,72,308,67,185
./data/all/Cars177.png,149,272,166,193
./data/all/Cars178.png,126,173,180,205
./data/all/Cars179.png,72,132,160,197
./data/all/Cars18.png,313,405,286,311
./data/all/Cars180.png,151,304,115,187
./data/all/Cars181.png,69,128,195,209
./data/all/Cars182.png,168,247,139,159
./data/all/Cars184.png,163,212,146,159
./data/all/Cars185.png,154,293,147,194
./data/all/Cars186.png,175,242,152,175
./data/all/Cars187.png,96,287,116,155
./data/all/Cars188.png,32,43,184,193
./data/all/Cars189.png,285,423,241,286
./data/all/Cars19.png,148,221,195,232
./data/all/Cars190.png,149,245,210,235
./data/all/Cars191.png,96,199,189,217
./data/all/Cars192.png,108,211,150,173
./data/all/Cars193.png,306,344,193,214
./data/all/Cars194.png,267,316,170,183
./data/all/Cars195.png,450,526,223,244
./data/all/Cars196.png,105,130,128,140
./data/all/Cars197.png,222,359,176,201
./data/all/Cars198.png,166,273,225,246
./data/all/Cars199.png,59,310,88,158
./data/all/Cars2.png,229,270,176,193
./data/all/Cars200.png,95,195,189,217
./data/all/Cars201.png,216,367,171,208
./data/all/Cars202.png,197,249,135,159
./data/all/Cars203.png,116,271,112,165
./data/all/Cars204.png,193,279,145,187
./data/all/Cars205.png,156,221,162,199
./data/all/Cars206.png,95,164,185,206
./data/all/Cars207.png,254,372,229,264
./data/all/Cars208.png,142,232,123,169
./data/all/Cars209.png,359,387,172,186
./data/all/Cars21.png,191,255,165,192
./data/all/Cars210.png,54,315,90,159
./data/all/Cars211.png,28,387,64,235
./data/all/Cars212.png,105,290,94,141
./data/all/Cars213.png,150,233,160,194
./data/all/Cars214.png,188,214,121,134
./data/all/Cars215.png,92,162,105,123
./data/all/Cars216.png,205,280,214,262
./data/all/Cars218.png,0,27,166,188
./data/all/Cars219.png,127,462,172,236
./data/all/Cars22.png,207,260,104,116
./data/all/Cars220.png,142,188,168,182
./data/all/Cars221.png,102,125,122,135
./data/all/Cars222.png,178,235,158,170
./data/all/Cars223.png,347,407,231,249
./data/all/Cars224.png,181,243,250,275
./data/all/Cars225.png,189,384,161,215
./data/all/Cars226.png,249,318,194,213
./data/all/Cars227.png,118,153,199,211
./data/all/Cars228.png,86,113,127,143
./data/all/Cars229.png,253,284,163,177
./data/all/Cars23.png,143,213,172,211
./data/all/Cars230.png,222,361,173,202
./data/all/Cars231.png,64,133,160,180
./data/all/Cars232.png,175,228,174,201
./data/all/Cars233.png,189,259,55,78
./data/all/Cars235.png,152,247,145,167
./data/all/Cars236.png,223,250,106,119
./data/all/Cars237.png,118,154,148,169
./data/all/Cars238.png,276,396,186,273
./data/all/Cars239.png,176,326,254,284
./data/all/Cars24.png,167,240,202,221
./data/all/Cars240.png,171,232,116,132
./data/all/Cars241.png,126,241,142,199
./data/all/Cars242.png,224,277,170,199
./data/all/Cars243.png,129,465,174,235
./data/all/Cars244.png,20,360,87,155
./data/all/Cars245.png,91,164,110,138
./data/all/Cars246.png,49,112,163,193
./data/all/Cars247.png,147,300,11,149
./data/all/Cars248.png,184,311,143,191
./data/all/Cars249.png,118,149,91,99
./data/all/Cars25.png,177,216,139,159
./data/all/Cars250.png,132,261,123,160
./data/all/Cars252.png,174,314,237,274
./data/all/Cars253.png,25,64,124,137
./data/all/Cars254.png,166,235,175,207
./data/all/Cars255.png,116,273,156,188
./data/all/Cars256.png,286,400,175,212
./data/all/Cars257.png,167,241,132,166
./data/all/Cars258.png,158,230,184,232
./data/all/Cars259.png,324,475,166,205
./data/all/Cars26.png,258,321,184,213
./data/all/Cars260.png,170,232,112,129
./data/all/Cars261.png,1,464,74,154
./data/all/Cars262.png,243,285,184,205
./data/all/Cars263.png,129,232,260,290
./data/all/Cars264.png,222,295,300,337
./data/all/Cars265.png,87,216,166,212
./data/all/Cars266.png,11,88,57,76
./data/all/Cars267.png,274,343,118,138
./data/all/Cars268.png,213,271,133,168
./data/all/Cars27.png,148,245,127,159
./data/all/Cars270.png,75,125,173,195
./data/all/Cars271.png,262,318,141,160
./data/all/Cars272.png,170,316,81,121
./data/all/Cars273.png,74,264,132,173
./data/all/Cars274.png,196,253,149,169
./data/all/Cars275.png,99,162,150,167
./data/all/Cars276.png,115,276,116,156
./data/all/Cars277.png,48,72,218,225
./data/all/Cars278.png,278,315,138,163
./data/all/Cars279.png,42,202,131,243
./data/all/Cars28.png,541,598,366,384
./data/all/Cars280.png,191,213,185,195
./data/all/Cars281.png,151,243,169,183
./data/all/Cars282.png,37,319,145,203
./data/all/Cars283.png,51,79,189,201
./data/all/Cars284.png,70,260,199,271
./data/all/Cars285.png,91,163,111,134
./data/all/Cars287.png,148,262,180,213
./data/all/Cars288.png,97,164,148,169
./data/all/Cars289.png,163,271,140,173
./data/all/Cars29.png,143,211,171,208
./data/all/Cars290.png,224,271,84,118
./data/all/Cars291.png,71,215,205,246
./data/all/Cars292.png,91,137,187,208
./data/all/Cars293.png,64,130,160,181
./data/all/Cars294.png,142,218,117,135
./data/all/Cars295.png,52,73,170,182
./data/all/Cars296.png,163,234,158,196
./data/all/Cars297.png,158,247,149,170
./data/all/Cars298.png,166,233,148,184
./data/all/Cars299.png,101,270,136,176
./data/all/Cars3.png,142,261,128,157
./data/all/Cars30.png,155,200,169,182
./data/all/Cars300.png,259,317,185,215
./data/all/Cars301.png,205,303,107,135
./data/all/Cars303.png,150,247,211,237
./data/all/Cars304.png,143,222,114,156
./data/all/Cars305.png,361,434,167,183
./data/all/Cars306.png,139,249,282,310
./data/all/Cars307.png,172,437,163,220
./data/all/Cars308.png,159,237,221,241
./data/all/Cars309.png,152,252,122,207
./data/all/Cars31.png,286,400,173,211
./data/all/Cars310.png,241,348,369,417
./data/all/Cars311.png,295,355,166,185
./data/all/Cars312.png,111,518,66,246
./data/all/Cars313.png,176,252,211,246
./data/all/Cars314.png,195,274,149,209
./data/all/Cars315.png,12,385,98,181
./data/all/Cars316.png,377,476,405,439
./data/all/Cars317.png,164,240,202,220
./data/all/Cars318.png,119,263,117,160
./data/all/Cars319.png,167,232,228,259
./data/all/Cars320.png,99,257,225,266
./data/all/Cars321.png,134,169,235,246
./data/all/Cars322.png,274,350,257,297
./data/all/Cars323.png,123,279,28,65
./data/all/Cars324.png,151,255,138,159
./data/all/Cars325.png,230,262,180,196
./data/all/Cars326.png,141,252,198,230
./data/all/Cars327.png,138,262,126,155
./data/all/Cars328.png,156,248,149,170
./data/all/Cars329.png,166,224,142,176
./data/all/Cars33.png,94,306,56,169
./data/all/Cars330.png,29,57,192,203
./data/all/Cars331.png,164,235,220,240
./data/all/Cars332.png,143,260,126,159
./data/all/Cars333.png,117,270,157,191
./data/all/Cars334.png,155,211,146,162
./data/all/Cars335.png,156,221,163,198
./data/all/Cars336.png,122,265,195,234
./data/all/Cars338.png,297,316,193,205
./data/all/Cars339.png,209,283,135,169
./data/all/Cars34.png,147,260,181,206
./data/all/Cars340.png,270,321,126,143
./data/all/Cars341.png,47,115,161,192
./data/all/Cars342.png,196,253,148,169
./data/all/Cars343.png,110,162,186,209
./data/all/Cars344.png,240,379,158,217
./data/all/Cars345.png,173,247,143,182
./data/all/Cars346.png,91,197,185,217
./data/all/Cars347.png,227,252,124,135
./data/all/Cars348.png,156,250,121,204
./data/all/Cars349.png,38,146,225,249
./data/all/Cars35.png,91,137,186,208
./data/all/Cars350.png,162,211,179,188
./data/all/Cars351.png,249,368,48,129
./data/all/Cars352.png,201,217,185,195
./data/all/Cars353.png,93,201,189,221
./data/all/Cars355.png,164,239,154,190
./data/all/Cars356.png,241,364,216,275
./data/all/Cars357.png,92,137,187,207
./data/all/Cars358.png,44,107,94,107
./data/all/Cars359.png,228,266,228,240
./data/all/Cars36.png,203,285,193,229
./data/all/Cars360.png,52,94,167,200
./data/all/Cars361.png,148,305,113,178
./data/all/Cars362.png,139,162,172,179
./data/all/Cars363.png,153,254,169,204
./data/all/Cars364.png,61,115,140,167
./data/all/Cars365.png,293,373,205,226
./data/all/Cars366.png,144,316,112,160
./data/all/Cars367.png,224,382,161,222
./data/all/Cars368.png,173,223,173,203
./data/all/Cars369.png,176,325,253,280
./data/all/Cars37.png,146,246,114,163
./data/all/Cars370.png,285,425,249,276
./data/all/Cars372.png,221,353,275,309
./data/all/Cars373.png,161,264,132,157
./data/all/Cars374.png,354,441,118,142
./data/all/Cars375.png,144,300,114,145
./data/all/Cars376.png,159,252,178,203
./data/all/Cars377.png,177,216,138,161
./data/all/Cars378.png,118,254,92,137
./data/all/Cars379.png,197,351,197,245
./data/all/Cars38.png,168,240,196,231
./data/all/Cars380.png,316,364,91,126
./data/all/Cars381.png,65,147,131,155
./data/all/Cars382.png,149,285,206,240
./data/all/Cars383.png,54,88,216,228
./data/all/Cars384.png,219,271,194,230
./data/all/Cars385.png,69,310,75,191
./data/all/Cars386.png,83,221,307,368
./data/all/Cars387.png,163,256,187,225
./data/all/Cars388.png,149,255,130,158
./data/all/Cars39.png,225,328,180,213
./data/all/Cars390.png,360,397,118,136
./data/all/Cars391.png,270,320,163,190
./data/all/Cars392.png,144,260,150,209
./data/all/Cars393.png,94,211,171,208
./data/all/Cars394.png,291,410,167,190
./data/all/Cars395.png,241,288,182,205
./data/all/Cars396.png,181,269,264,289
./data/all/Cars397.png,144,216,169,212
./data/all/Cars398.png,72,196,139,222
./data/all/Cars399.png,106,309,62,161
./data/all/Cars4.png,156,503,82,253
./data/all/Cars40.png,261,317,186,211
./data/all/Cars400.png,303,340,191,217
./data/all/Cars401.png,158,238,223,240
./data/all/Cars402.png,360,438,165,181
./data/all/Cars403.png,296,332,189,209
./data/all/Cars404.png,162,235,208,244
./data/all/Cars406.png,285,374,185,226
./data/all/Cars407.png,311,346,183,202
./data/all/Cars408.png,160,187,217,228
./data/all/Cars409.png,116,203,146,168
./data/all/Cars41.png,109,159,182,206
./data/all/Cars410.png,51,219,150,212
./data/all/Cars411.png,160,249,153,197
./data/all/Cars412.png,221,362,172,202
./data/all/Cars413.png,237,271,143,162
./data/all/Cars414.png,269,309,206,228
./data/all/Cars415.png,133,261,157,192
./data/all/Cars416.png,150,234,207,221
./data/all/Cars417.png,90,273,145,196
./data/all/Cars418.png,99,303,70,155
./data/all/Cars419.png,195,349,196,242
./data/all/Cars42.png,177,217,140,159
./data/all/Cars420.png,112,160,186,211
./data/all/Cars421.png,95,127,162,183
./data/all/Cars423.png,162,283,159,183
./data/all/Cars424.png,128,461,173,242
./data/all/Cars425.png,211,301,103,132
./data/all/Cars426.png,148,282,206,238
./data/all/Cars427.png,236,375,193,228
./data/all/Cars428.png,142,258,128,157
./data/all/Cars429.png,86,208,166,195
./data/all/Cars43.png,142,319,111,161
./data/all/Cars430.png,38,116,159,197
./data/all/Cars431.png,55,343,82,147
./data/all/Cars432.png,95,196,258,284
./data/all/Cars44.png,18,430,153,271
./data/all/Cars45.png,204,280,103,175
./data/all/Cars46.png,189,352,193,248
./data/all/Cars47.png,6,48,143,161
./data/all/Cars48.png,95,286,117,155
./data/all/Cars49.png,268,314,171,190
./data/all/Cars5.png,226,242,218,240
./data/all/Cars51.png,264,318,141,162
./data/all/Cars52.png,226,327,181,210
./data/all/Cars53.png,146,260,187,213
./data/all/Cars54.png,148,257,61,118
./data/all/Cars55.png,143,210,171,208
./data/all/Cars56.png,87,339,82,146
./data/all/Cars57.png,270,321,162,195
./data/all/Cars58.png,154,241,166,187
./data/all/Cars59.png,324,375,162,175
./data/all/Cars6.png,112,373,114,239
./data/all/Cars60.png,45,364,98,159
./data/all/Cars61.png,71,198,124,231
./data/all/Cars62.png,156,243,110,159
./data/all/Cars63.png,54,91,201,226
./data/all/Cars64.png,120,325,187,220
./data/all/Cars65.png,207,300,200,260
./data/all/Cars66.png,144,211,170,202
./data/all/Cars67.png,189,328,223,248
./data/all/fe9e1a09fa8fc4a8.jpg,497,526,700,715
./data/all/febed27fa45cd55a.jpg,201,239,629,644
./data/all/febed27fa45cd55a.jpg,326,349,612,619
./data/all/febed27fa45cd55a.jpg,631,689,647,659
./data/all/fed8622a8e0a9fde.jpg,0,108,445,526
./data/all/fef61995d5c3d194.jpg,793,887,484,516
./data/all/fef6df0ef037ed99.jpg,41,68,479,489
./data/all/fef895dbd408cf44.jpg,218,243,623,634
./data/all/fef9c2a0fafe9fdf.jpg,437,901,136,375
./data/all/ff00d7a7b885f579.jpg,0,64,441,469
./data/all/ff00d7a7b885f579.jpg,267,354,453,485
./data/all/ff1c8c4b3e934834.jpg,257,777,296,531
./data/all/ff227174240edcd6.jpg,86,129,711,730
./data/all/ff51e615f23f3403.jpg,638,852,551,611
./data/all/ff74617a514d2b82.jpg,134,272,564,610
./data/all/ff8594d0e730147c.jpg,271,308,112,154
./data/all/ff8594d0e730147c.jpg,495,594,216,263
./data/all/ff8c3836bbaa2658.jpg,351,464,608,641
